Hindi,Bhili
मेरा मॉंस खाने का मन करता है।,मारो मास खाणे नु मन करे दे
वह पेंसिल से लिखती है।,पोली पेसिंल थी लीखे दे
वह सीढ़ी चढ़कर ऊपर गया।,पोलु सीढी चढीन उपर गुयु
दीवार से सीढ़ी लगी है।,दिवाल मा निसडाणी लागेती हुती
वे पत्तियां हरी-भरी हैं।,पोला पान्‍टा हरा भरा छे
जिराफ की गर्दन लंबी होती है।,जिराफ नु नाड लम्‍बु रहे छे
कुत्‍ते की पूंछ मुड़ी हुई है।,कुतरा नु पुछरु वालेलु रोहे
वह ऊन का गोला है।,पोलु पालान गुलु छे 
पेड़ की जड़ें गहरी हैं।,झाड नी जड गहरी छे
तीर नुकीला होता है।,तीर नुकीलु रोहे छे
तीर कमान से निकल चुका है।,तीर कामथा थी निकली गेलु
रस्‍सी में बड़ा बल है।,रस्‍सी मा मोटलु  बल छे 
तालाब सूख रहा है।,दाबडु सुखय रियु
बारिश नहीं हो रही है।,वरसाद नी पड तेलु
सूरज बहुत गर्म है।,सुरज घणो गोर्म छे
बहुत गर्मी पड़ रही है।,घणी हुनालु पडी रियु
चन्‍द्रमा आधा है।,चन्‍द्रमा अडधो छे
पूर्णिमा के दिन चांद गोल होता है।,पूर्णिमा ना दाहडे चांद गोल होय छे 
पतंग की डोर कच्‍ची है।,पंतग नो धागो कच्‍चो छे
डोर टूट रही है।,धागो टुटी रियो
पतंग आकाश में ऊंची उड़ रही है।,पतंग खरत मा उंची उरी रोय
उस वृक्ष की उम्र अधिक हो गई है।,पोला झाड नु उम्र घणी होई गुई 
वह मोटी किताब मेरी है।,पोली मोटली चुपडी मारी छे
ब्रश से रंग भरते हैं।,पीशी थी रंग भरे छे
रंग भरने के लिए रंग रखे हैं।,रोंग भरवा हारु रोंग मेकेला छे
वह चित्र दीवार पर रंगा है।,पोलो फुटु दिवार पर रंगे लो
आकाश में बादल छा गये।,खरत मा वादला छे
मेघ घिरने लगे किन्‍तु बरसेगें कब-कब।,वादला घेरायला छे अने वरसे केर केर 
बारिश होने लगी।,वरसाद पोडने लगी
वह पूरी तरह भीग चुकी है।,पोली आखी गिली थाय गी
उसे सर्दी जुकाम हो गया है।,तिनान से सर्दी थायगी
वह बीमार हो गया है।,पोलु बीमार होई गियु
उसे दवाई लाकर दो।,पोलाक दवा लावीन आप
वह ठीक हो जायगा।,पोलो वारु हुई जासे
वह दवाई खा लेगा।,पोलु दवा खाई लेसे
तुम उसकी चिंता मत करो।,तमु  पोलान नी चिंता मोत करो
मेरे पास फूल है।,मारी कन फुल छे
खेत में दूर एक पेड़ है।,खेतर मा छेती एक झाड छे
बच्‍चे गिल्‍ली–डंडा खेल रहे हैं।,पुरिया गिल्‍ली डंडा रमतेला 
एक बालक खड़ा है।,एक पुरिया उभेलु
वह नहीं खेल रहा है।,पोलु नी रमतेलु
वह कक्षा में श्‍यामपट साफ कर रही है।,पोली कक्षा मा कालो पत्‍तो साफ कोरी रोय छे
श्‍यामपट साफ हो गया।,कालो पत्‍तो साफ हुय गियो
गुरुजी पढ़ाने आ गये।,मास्‍टर भणावा आवी गियो
कक्षा में बच्‍चे बैठे हैं।,कक्षा मा पुरिया बेठेला हुता
गुरूजी पढ़ाते हैं।,मास्‍टर भणावी रीयो
हम सीख रहे हैं।,हमु सीखतेला
वह चटाई पर बैठी है।,पोली टाट पत्‍ती पर बोठी छे
वह कालीन सुन्‍दर है।,पोलु चादरु वारु छे 
त्‍यौहार पर महिलाएं गीत गाती हैं।,तिवाहर मा बायरा गीतु गावे छे
गांव में गोंडी समुदाय रहता है।,गाम मा गोडी जात रोहे छे
सभी लोग नाच गाना कर रहे हैं।,सुब मानसा नाच तेला अन गीतरु गाते ला 
वे खुशी का इजहार कर रहे हैं।,पोला खुशी वताडवा मंडीरिया 
उनके घर नया मेहमान आया है।,तिनान घेर नवलु परुन आयु
वह मेरे पड़ोस में रहती है।,पोली मारी जुडे रोहे छे
महिला दर्द से कराह रही है।,बायर दर्द थी चीख तेली 
बुढि़या लकड़ी पकड़कर चल रही है।,डाहली माय लाकरु धरिन चले छे
हमें उस रास्‍ते से गुजरना होगा।,हमुने पोला वाट थी निकलनु पोडसे
वह झोपड़ी में रहती है।,पोली झोपडी मा रोहे छे
उसे अब चलते-फिरते नहीं बनता।,पोला काजे हाय नी चलाय छे
बच्‍चे के रोने की आवाज आ रही है।,पुरियान नी रोडने नी आवाज आवतेली
जल्‍दी गढ्ढा खोदो।,इनताल खाडु खुदो 
उसे थैले में सामान भरना है।,पोलान ने थैला मा सामान भोरनो छे
उसे खाली हाथ मत भेजना।,पोलान ने खाली हाथ घुणी मोकले
उसे जल्‍दी विदा करो।,पोला ने हिनताल मोकल 
सभी आशीर्वाद दे रहे हैं।,सुब आशीर्वाद आपतेला 
बच्‍चा इंतजार कर रहा है।,पुरिया वाट देखी रीया छे
वह दादाजी की गोद में बैठा है।,पोलु दाहु बा ना खोला मा बेठु छे
मैं तुम्‍हारे पैर पढूँगी।,मैं तुमरा पाय पोडिस 
छोटा बच्‍चा कदम-कदम चलने लगा।,नानकु पोरियो पाय पाय चोलने लागियो
बुजुर्ग माताओं को बुलाया गया।,डाहली माय काजे बुलाडिया 
उसे झूला तैयार करना है।,पोलाने हिचको तियार कोरनु छे
बालक बड़ा हो गया है।,पुरियु मोटलु हुई गियु 
वह गुरु के घर चला गया।,पोलु गुरु ना घेर जाती रहियु 
उसे गुरु से बुद्धि ज्ञान लेना है।,पोलाक गुरु थी बुद़धि ज्ञान लेनु छे 
वह गुरु की खोज में निकल गया।,पोलु गुरु काजे हेरने निकली गियु 
गुरु जी घने जंगल में रहते हैं।,मास्‍टर घोणा जंगल मा रहे छे 
वह मामा के घर जा रही है।,पोली मामा ना घेर जातेली
बालक मामा के साथ हंसी मजाक करता है।,पुरियो मामा जुनी हांसी मजाक करे छे 
मां के भाई को मामा कहते हैं।,आया ना भाई काजे मामा कहे छे 
उसे रास्‍ते में भूख लगती है।,पोलाक वाट मा भुख लागने लागी 
आप कहां से आई हो।,तु कहा थी आवी छे 
वह किस देश जा रहा है।,पोलु काहला देश जाय रहियु 
मामा अपने घर गया।,मामा खुद ना घेर गियो 
पर्यावरण के प्रति बच्‍चों को जागरूक करना जरूरी है।,पर्यावरण ना लिदे पुरिया काजे जानकारी आपणु जरुरी छे
यह काम स्‍कूलों से शुरु किया जाये।,यु काम स्‍कूल थी शुरु करनु 
गेहूँ को चक्‍की में पिसाया जाता है।,गव काजे चक्‍की मा दलावे छे 
मां रोटी बना रही है।,माय रोटलो बनावी री 
मामा खेती बाडी का कार्य करते हैं।,मामा खेती बाडी नु काम करे छे
उसने दरवाजा बंद किया।,पोलाये बायनु बोन्‍द करियु 
उसके पास राजा का एक घोड़ा था।,पोला जुनी राजा नु एक घुडु होतलु 
उसने राजकुमार को तैयार किया।,पोला ये राजकुमार ने तियार करियु 
वह पानी पी रही है।,पोली पानी पी रोय छे 
वह सहेली से मजाक कर रही है।,पोली सहेली काजे मजाक करी रोही छे
वे विदाई के गीत गा रही हैं।,पोली विदाई नु गीत गावे छे 
मैं तेरी गली में आऊँगा।,मै तारी गली मा आविस 
वह घर के आंगन में खड़ी है।,पोलु घेर ना आगणा मा उभेली 
उसका घर बहुत बड़ा है।,पोलानु घेर घणु मोटु छे 
वह पीछे मुड़कर देख रही है।,पोली पछारी वली ने देखी रही छे
उसका भाई सब समझ गया।,पोलान भाई सुब सोमझी गियो
वो कहां जा रही है।,पोली काय जाय रही छे 
वह मजाकिया व्‍यक्ति है।,पोलु मजाकिया मानुसा छे 
नदी किनारे गन्‍ने का खेत है।,नदी नीधेडे साता नु खेत छे 
वे दु:खी हो रहे हैं।,पोला दु:खी होई रोहिया छे 
उसे दादाजी की कमी महसूस हो रही है।,पोला ने दाहा बा नी  कमी महसूस होय रोही 
वे दूल्‍हे के घर जा रहे हैं।,पोला लाडा नु घोर जाय रहियु छे 
बारात सज रही है।,जान सोजी रही छे 
दूल्‍हा को सजाया गया।,लाडा काजे सजायो गुयो 
बैलगाड़ी के बैल थक गए हैं।,बैलगाडा नु दगरो थाकी पडियो 
वह चल नहीं पा रहे हैं।,पोला चाली नी सोके 
गांव से बारात निकल गई है।,गाम थी जान निकली गी 
बाराती लोग आपस में बातें कर रहे हैं।,बाराती लुग आपस मा वात करे छे 
सभी बाराती नाच रहे हैं।,सुब जान वाला नाची रिया 
बैलों को घास के मैदान में छोड़ दिया।,डगरा काजे चारा ना मैदान मा छुडी देधा 
बैलों ने हरी-हरी घास खाई।,डगरा ने लीली –लीली घास खादी 
बैल बहुत ताकतवर थे।,डगरा घना ताकतवर हुता 
वह बहुत बड़ा शिकारी था।,पोलु घनु मोटलु शिकारी होतलु 
मेरे दादाजी कंधे पर बंदूक टांगते थे।,मारा दाह बा कान्‍ध्‍ला पर बंदुक टांगे छे 
मैं अपने घर चली जाऊँगी।,में खुद ना घेर जाती रोहिस
तेरा बेटा पागल हो गया है।,तारु पोरियु गांडु होई गियु
वह समझ नहीं पा रहा है।,पोलु सोमझी नी सोके 
घर से बारात प्रस्‍थान कर गयी।,घेर थी जान जाते ली 
वे आम का बगीचा देख रहे हैं।,पोलु आम नु बगीचो भाली रोही छे 
गांवों में बारातियों के पैर धोये जाते हैं।,गाम मा जान मा जाय त्‍यू लोगो नु पोग धुवे छे 
पेड़ों की डालियां सूख रही हैं।,झाडका नु डाल सुखे छे 
वह लकड़ी लाना भूल गई।,पोली पुरीन लावीन भुली गिई
मेरी भाभी की कमर दर्द हो रही है।,मारी भाभी नी कमर दुखी रोही छे
वह पान खा रहा है।,पोलु पान खाते लु 
वह पानी लेने कुंए पर जाती है।,पोली पानी लेने कुंआ पर जाते ली
वह मायके जा रही है।,पोली मायके जाय रही छे 
वह रास्‍ता भूल गई है।,पोली रास्‍तो भटकी गी 
वह बड़े घर की बेटी है।,पोली मोटला घेर नी पुरीय छे 
मैं थाली में खाना खाऊंगी।,मै थाली मा खावानु खाईस 
तुम नाई के बेटे हो।,तुम नावडा नो पुरियो छे 
तुम पत्‍तल में खाना खाओगे।,तमु बाजरा मा खावानु खाउ 
वहां शादी का मंडप लगा है।,त्‍या लगन नु मंडप लागिडीयो छे 
उसे चावल खाने को देना।,पोला ने चुखा खावने देजे
वह रोना बंद कर देगा।,पोलु रडने न बोद करी दे
उसको झूले में सुलाना है।,पोलान ने हिछका मा सुलाव नु छै
उसे रास्‍ते में एक चिडि़या का बच्‍चा मिला।,पोला ने वाट मा एक चिरला नु पिश्‍यु जोडियु 
चिडि़या ने उसे चोंच से खाया।,चिरला ने पोलाक चोच थी खादो 
वह घर सागौन की लकड़ी से बना है।,पोलु घेर सागडा नी लाकडा नु बनेलु 
मुझे उसके घर के अंदर जाना है।,मुसे पोलाना घेर मा जाणु छे 
उसने रास्‍ता रोक लिया।,पोलु वाट रुकी लेदी 
उन्‍होंने अपना रास्‍ता खोज लिया।,पोला ये आपडु वाट सोधी लेदी 
दूल्‍हे के सिर से पगड़ी उतारो।,लाडा ना माथा पोड थी पागडी उतारु 
उसे आसन पर बैठाओ।,तिनान ने आसन पर बोठाडो
उसके गले में माला पहनाओ।,तिनान ने गोला मा हार पेहराउ 
घोड़े को चने खाने को दिए।,घुडा काजे चोणा खाने आप जे
दुल्‍हन को शर्म आ रही है।,लाडी काजे लाजवु आवतेली
वह डोली में बैठने लगी।,पोली पालखी मा बोसी गी 
बगीचे में कौन आया ?,बगीचा मा कुन आयु
बगीचे में आम व नींबू लगे हैं।,बगीचा मा आम अने लिमडा लागिया 
फूल झड़ जायेंगे।,फुल पोडी गिया
कबूतर छत पर आ गया।,कबुतरो छत पर आवी गियो
वह घास काट रही थी।,पोली खोड काट तेली
रस्‍सी जूट से बनी है।,दोयडु जूट थी बनतेलु
रस्‍सी की गठान खोलो।,दुयडा नी गाड खुलो
घड़े को ढ़ककर रखना।,घडो ने ढाकीन राखनू 
सुबह-सुबह दिन निकला है।,वेघु वेघु दाहरु निकल तेलु 
सूर्य का उदय हो गया है।,सूरज नु उदय थाय गियु 
वह सब भूलकर आ गई है।,पोली सुब भुलीन आवी गी 
उसे खाने में पूरी पसंद है।,पोलान ने खावा मा पूडी पसंद छे 
वह कुंए के पास ही गगरा छोड़कर आ गई।,पोली कुंआ धोडे ही हाण्‍डलो छुडी आवीगी 
बिजली चमकने से वह डर रही है।,बिजली चमकने थी पोली हगराई गी 
उसे अंग्रेजी भाषा नहीं आती।,तिनाने अंग्रेजी बुलता नी आवडे 
वह सेमल की रूई है।,पोली सेमल नु पुमरु छे 
रूई कोठी पर उड़कर जम गई।,कपास कोठी पर उडिन जमी गियु 
लड़के के मित्र उसे पकड़ रहे हैं।,पुरियान ना साथी पोलाने धडिरीया 
उसने सुंदर हार गले में पहना है।,तिनाये वारु हार गला मा पेहरियू छे
नीम के पेड़ की गहरी छांव में खटिया बिछि है।,लिमडा ना झाड नी गहरी छाव मा खाटलो मेकेलो 
वह खटिया पर बैठा है।,पोलु खाटला पर बठु
वह गांव का पुराना मैदान है।,पोलु गाव नु जुनलु मैदान छे 
मैं मेरे मामा के यहां जाउँगी।,मै मारा मामास नु चाहा जाईस । 
लड़की मटके में पानी भरने लगी।,पुरे हाडो लेक ने पानी भरने गुई । 
"मटके में कितना पानी भरू, मटका भरता ही नहीं है।",हाडाम कोतरो पानी भारू हाडो भोराय ही नहीं । 
मॉं ने उससे कहा कपड़े भी धो लो।,माई कोहे पुथलिया भी धुय देजी । 
लड़की सबके कपड़े धोने नदी पर गई।,पुरे सोबुन पुथलिया लेक ने नदी पर धुवने चाली । 
लड़की ने बताया कि कपड़े का मैल नहीं निकल रहा है।,पुरे कोही कि पुथलियान मियल नी हिटे । 
घिसकर धो लो सारे कपड़े चमक जायेंगे।,वारू घिसीक धुव सारा पुथलिया चमकी जासे । 
बाजार से वह मामा के घर चली गई।,बाजाराम कोधी पोली मामान घर चाली गुई । 
मामा ने कहा तेरी शादी उस घर में हुई है।,मामु कोहे कि तार विहा पोले घर होयरिया । 
लड़की अपने सास-ससुर की बात मामा को बताने लगी।,पुरे आपणा सास-सासरा नी बात मामास ने कोही । 
वह एक लड़के से शादी करके मामा के यहां रहने लगी।,एक पुरीयो साथे विहा कोरीक ने मामास ने चाहा रोहणे लागी । 
वह अपना जीवन-यापन बड़े मुश्किल से करता था।,पोलु जीवने वाटे घोणी मुश्किल वेठी । 
मां बेटे दोनों को भूखा भी सोना पड़ता था।,आईस ने पुरियो काजे भुखलान सुवनु पड़यो । 
लड़का अपनी जीविका चलाने के लिए पटेल के यहां गाय चराता था।,पुरियो पटेल ने चाहा डोगरी चरावणे जातलु । 
बारिश के मौमस में वह गाय चराने जाता था।,बरसातेम पोलु डोगरी चारने जातलु । 
गांव के सभी लोग एकत्रित होकर कुछ चर्चा कर रहे थे।,गांवना सुब माडसे एकठा होईकने कचहरी करने मड़ रीया । 
लड़का गायों को जंगल की ओर चराने चला गया।,पुरियो डोगरी लेक जोगलेन चराणे जातरीयो । 
वे गांव के लोगों को गुरु मंत्र सिखाएंगे।,पोला गांव ने माणसेक वारू वात सिखवाडे। 
गुरु मंत्र सीखने के लिये पूजा सामग्री और भेट के लिये कुछ राशि लगती है।,पुजरा काजे पुजने वाटे सामान ओली थुडाक पोयसा लागसे । 
उस दिन बारिश बहुत तेज हुई।,पोला दाहडें घोणी वरसात होवली । 
चारों तरफ पानी ही पानी हो गया।,चारो मेर पानी ने पानी होय गुये । 
नदी नालों में बाढ़ आने से किनारों के ऊपर पानी जाने लगा।,नदीम पानी वधने से नदी धोणे थी ऊपर पानी उहने लागयु । 
आज का समय चला जायेगा तो एक वर्ष बाद आयेगा।,आजुन टायम जातरोसी नी एक साल पोछी आवसे । 
इन्‍हीं विचारों में सब चिन्‍ता में डूबे हुए थे।,पोली वातेम सोब चिंतान लागरीया । 
गुरुजी अपने घोड़े पर सवार होकर गांव के करीब पहुंच गए।,मास्‍टर आपणा घुड़ा पर बोठिक ने गांव धोडे जातरीयो । 
गांव के लोगों को गुरुजी के आने की खबर लगी।,गांवनीया माणसो काजे मास्‍टरेन ने आवणेन खबर लागी । 
सभी लोग नदी के करीब जाकर खड़े हो गए।,सोब माणसे नदी धोण जाइक ने ऊभा होयरिया । 
नदी कौन पार कराएगा यही चर्चा चल रही थी।,नदी छाडाडिक कन लीक जासे सुब विचार ने मडरिया । 
लड़का भी यह नजारा देखने गया था।,पुरियो भी देखणे मंड रियो । 
पटेल ने गाय चराने वाले लड़के को बुलाया।,डोगरी चरावणे वाला गुवालीया पुरियाक पटेल बुलायु । 
बेटा क्‍या तुम नदी पार कर सकते हो ?,पुरिया तु काय नदी छाड़ाक सोकसे । 
यह सुनकर बालक झट से तैयार हो गया।,वात सामलिक ने पुरियो मामार तियार होय गुयो । 
लड़के के अन्‍दर गुरुजी का दर्शन करने की जिज्ञासा थी।,पुरियान मन में मास्‍टर मेलनेन होर होतली । 
वह नदी पार करने लगा और धीरे-धीरे उसने नदी पार कर ली।,पोलु नदी तिरिक जाने लागयु ने धीरे धीरे नोदी छाड़ ले थी । 
गुरुजी नदी के उस पार खड़े थे।,मास्‍टर नोदीन पोली छोड़ ऊभु होतलु । 
बालक को गुरू ने अपना चेला बनाकर उसका जीवन धन्‍य कर दिया।,पुरियाक काजे मास्‍टर अपसान चेला बणाविक ने जीवन सुधार देधी । 
उसने कुत्‍ता और बिल्‍ली पाला था।,पोलु कुतराक ने मादरीक पालरियु । 
दोनों बिल्‍ली व कुत्‍ता में बहुत दोस्‍ती थी।,दोयु मादरीक ने कुतरान वारू जुसती होतली । 
वे दोनों आपस में बड़े प्‍यार से रहते थे।,पोला दुयु वारू मेलिक ने रोहणे लागया । 
वह कुत्‍ता और बिल्‍ली को आपस में छीना झपटी करते देख रहा था।,पोलु कुतराक ने मादरीक दुयु काजे विलगने देखने लागरीयु । 
बंदर ने कहा कि रोटी बराबर-बराबर बांट लो।,वांदरो कोहे कि रूही बराबर-बराबर बांट लेव । 
धीरे-धीरे पूरी रोटी बंदर खा गया।,कायलेन कायलेन आरती रूही वांदरू खाय गुयु । 
अब आपस में मिल कर घर चले जाओ।,दुयु मेलीक ने घर जात रेऊ । 
कुत्‍ता और बिल्‍ली चुपचाप वापस घर चले आये।,कुतरे ने मादरी हुगान पोछान घर जातरिया । 
बंदर खुशी-खुशी उसी वृक्ष पर चढ़कर आराम करने लगा।,वादरो वारू खुशी खुशी झाड़का ऊपर चोहड़ीक ने आराम करने वाधिन रोहने लागया । 
एक बुजुर्ग दंपती जंगल में पहाड़ी के किनारे घर बनाकर रहते थे।,ढुक-ढुकरीया जंगलेम टेकड़ी धड़े घर वाधिन रोहने लागया । 
वही पर खेती और किसानी किया करते थे।,वाहान खेती ओली खेतीन सामान छे । 
वे लोग खाना खाने के लिए बैठे थे।,पोला माणसे खानु खाने बाटे बोसरीया । 
जंगल में सियार का एक झुण्‍ड हुक्‍के-हुक्‍के चिल्‍लाने लगा।,जंगलेन मा भालड़ीनीन टुलु आयड़ने मडरीयु । 
बुजुर्ग दंपती जब भी खाना खाने बैठते थे।,ढुक ढुकरिया जोब खान खाने बौठसे । 
एक गढ्ढे में सियारों का झुण्‍ड गिर गया।,एक खाड़ाम भालड़ीन ढुलु हिट पड़ीया । 
दुबारा हम ऐसी गलती नहीं करेंगे।,पोछेन पोछे ओसी गोलती न करजे । 
बुजुर्ग महिला को दया आ गयी।,डाहली बायर काजेदया आयू गुई । 
सियार खेती-बाडी को नुकसान पहुंचाने लगे।,भालड़ी खेतम नुकसान कोर देधो । 
बुजुर्ग दंपती बहुत परेशान हो गये थे।,ढुक ढुकरिया घोणा परेशान होतला । 
बुजुर्ग दंपती अपना जीवन-यापन खुशी-खुशी व्‍यतीत करने लगे।,ढुक-ढुकरिया जीवने बाटु खुशी –खुशी रोहने लागया । 
एक दिन महल में एक बाबा आता है।,एक दाहड़े मोहलेन एक बाबू आयु । 
बाबा को राजा अपनी परेशानी बताता है।,बाबा काजे राजा आपणी परेशानी देखाड़ी । 
राजा की परेशानी सुनकर बाबा रानी को आशीर्वाद देता है।,राजान परेशानी सामलिक ने बाबू रानी काजे आशीर्वाद आपयु ।
बाबा के आशीर्वाद से रानी को एक बच्‍चा होता है।,बाबु आशीर्वाद ना राणी काजे एक पुरियो आपयु । 
बच्‍चा मनुष्‍य के रूप में ना होकर नाग के बच्‍चे के रूप में होता है।,पुरिया माणसेन तोसू ने देखाईक ने घोड़सान तोसू देखाय तलु । 
रानी उस नाग को पालती है।,राणी पोलु घोड़सान काजे पालतेली । 
राजा नाग रूपी पुत्र की शादी के लिए राज्‍यों के चक्‍कर लगाता है।,राजा घोड़सान तोसू पुरिया नू विहा वाटे दिसरा राज्‍यों में फिरने लागयु । 
नाग से अपनी बेटी की शादी करने के लिए कोई तैयार नहीं होता है।,घोड़सान साथे विहा वाहे कुय भी आपनी पुरे नी आपी । 
राजा का मित्र उसकी पुत्री से राजा के नाग पुत्र की शादी करवा देता है।,राजान दुसत अपनी पुरेन विहा राजान घोड़सान तोसू देखाय पुरिया साथे कोर देधा । 
मनुष्‍य योनि की लड़की से शादी होने पर वह भी मनुष्‍य रूप में आ जाता है।,माणसेन पुरे साथ विहा कोरिन ने पोलु घोडसु माणसेन पुरिया ने अवतार में पोछु माय गुयी । 
वह दोनों अब खुशी-खुशी रहने लगते हैं।,पोला दुयु वारू खुशी-खुशी रोहणे मोंडिया । 
राजा के पुत्र को श्राप मिला होता है।,राजान पुरिया काजे शाप आपलु । 
मनुष्‍य योनि की लड़की से शादी होने पर वह श्राप मुक्‍त हो जाता है।,माणसेन पुरे साथ विहा होवणे पोछाल पोलु शाप हाट गुयु । 
एक गांव में एक बूढ़े मॉं-बाप रहते थे।,एक गांव मां डाहला माय बाप रोहतेला । 
उनका खेत जंगल के किनारे पर है।,खेत जंगलेन धड़े छे । 
वह रोज सुबह उठकर खेतों में जाती थी।,रूज वेघी उठीक ने खेतम काम करने जातरेम ली । 
वह लड़की एक दिन रोटी लेकर नहीं आई।,पोली पुरे एक दाहड़े रूटी लेक नी आवी । 
उन्‍हें मालूम नहीं था कि यहां मोर आकर रोटी खा लेता है।,पोलक काय मालूम कि यहॉं मूर आविक रूटी खाय जाय । 
वह मोर को देखकर मार देता है।,मूर काजे देखिक ने मार नाखे । 
मोर के वियोग में मोर पंखों के साथ वह भी जल जाती है।,मूर ना दुखेम मूर ना पिछड़ान साथे पोली भी बलगुयी । 
नानी बाई इस तरह मोर के प्रेम में अपनी जान दे देती है।,नानी बाई मूर ना दुखेम अपनी जान दे देय । 
वह कुल्‍हाड़ी लेकर जंगल की ओर चला जाता है।,पोलु कुल्‍हाड़ लेक जंगलेम जात रियू । 
वह दिन भर मछली मारता था और मछली घर लेकर आता था।,पोलु आखु दाहडू माछली मारे ने माछली लेक घर आई जाय । 
पूरे खेत में कद्दू के पौधे तैयार हुए थे।,पुरा खेतेम कुहलान बेला तैयार होतला । 
फसल तैयार होने पर कद्दू तोड़ने के लिये वे गांव से महिला लाये।,धान तियार होनेपर कुहला तुड़ने वाहे गावेन बायरी जावी । 
महिला ने घर आकर कद्दू को काटा तो अंदर से गेहूँ निकला।,बायर घर आविक ने कुहलाक काटयु ती माही कोदू गहू निकालियू । 
दूसरे दिन पूरे कद्दू घर लेकर लाये।,दिसरे दाहड़े सोब कुहला लेक घर आत रूयु । 
उनके यहां गेहूँ का भंडार लग गया था।,पोलान चाहा गहून ढिगलु लाग रियु । 
एक माध्‍यमिक शाला में आस-पास के कुछ छात्र/छात्राएं पढ़ने आते थे।,ऐक माध्‍यमिक स्‍कूलमा धड़ेत सुब पुरिया पुरे भणने आवतेला । 
शाला के पास ही रहने वाली छात्रा भी वहां पढ़ने आती थी।,स्‍कूलेन धड़े रहणे वाली पुरे भी भणने आवतेली । 
उस रास्‍ते से दूसरे गांव के छात्र भी आते थे।,पोला रूहा थी दिसरे गांवेन पुरे पुरिया भी आवे । 
मनमुटाव के चलते एक छात्र को पिटवाने की योजना बनाई।,मनमुटाव ने चालते एक पूरिया काजे ठुकनेन विचारियु । 
"वह छात्र पढ़ने-लिखने के साथ-साथ ढोलक, बांसुरी बजाने में माहिर था।",पोला भणनिया पुरिया पढ़ने लिखने साथे ठोलु ने वॉंसुी वगाड़नेन माहिर होतलु । 
एक छात्रा के नाम से प्रेम पत्र लिखकर छात्रा के कुत्‍ते के गले में बांध दिया।,भणनिया पुरे नामेन प्रेम पत्र लिखिने पुरेक काजे कुतरान गले बांधिक मोक लायो । 
कुत्‍ता अपने मालिक के यहां भागते हुए पहुंच गया।,कुतरू आपणा मालिक नु घर दौवडीन गुयू । 
हेड मास्‍टर पत्र पढ़कर आग बबूला हो गया।,मास्‍टर कागज भणीन वायडू रिस कर पडयू । 
शिक्षकों को बहुत अफसोस हुआ कि उन्‍होंने निर्दोष छात्र की धुनाई कर दी।,मास्‍टर काजे घणों बुरो लागयो कि काईनी करो तीना पुरिया काजे मारीया । 
पार्वती ने अलग-अलग जगहों में राजा महाराजाओं के घर में जन्‍म लिया।,पार्वती अलग-अलग राजा महाराजानु घर पोश्‍दा होवली । 
वह अन्‍दर ही अन्‍दर अपने मन में महादेव को अपना पति मानती थी।,आपसा मन मा महादेव काजे घरवालु मानतेली । 
भस्‍मासुर के डर से महादेव गुफा में छुप रहे थे।,भस्‍मासुर नु हागराये महादेव गुफा मा डुकाई तेलु । 
